country,co2,sector,date,year
Country A,1872.0682402826867,Power,1983-01-01,1983
Country B,686.8242073096455,Power,1984-01-01,1984
Country C,918.9440619752618,Power,1985-01-01,1985
Country B,1451.7445970650836,Power,1986-01-01,1986
Country A,3180.200879073477,Power,1987-01-01,1987
Country C,4482.806094838412,Power,1988-01-01,1988
Country C,4839.8681633544265,Power,1989-01-01,1989
Country C,4991.427354932984,Power,1990-01-01,1990
Country B,189.3300259493146,Power,1991-01-01,1991
Country A,4886.777117746395,Power,1992-01-01,1992
Country B,3526.684686797725,Power,1993-01-01,1993
Country C,355.3382815059253,Power,1994-01-01,1994
Country C,3019.1174954459816,Power,1995-01-01,1995
Country A,4159.829617461075,Power,1996-01-01,1996
Country A,832.7422582719817,Power,1997-01-01,1997
Country C,2065.268949004164,Power,1998-01-01,1998
Country C,2233.043874688747,Power,1999-01-01,1999
Country C,3544.9713904001824,Power,2000-01-01,2000
Country C,1437.8986695365313,Power,2001-01-01,2001
Country C,1111.9106110274781,Power,2002-01-01,2002
Country A,3705.680933388219,Power,2003-01-01,2003
Country A,878.2624554085938,Power,2004-01-01,2004
Country A,1816.3937765652045,Power,2005-01-01,2005
Country B,525.6475303876668,Power,2006-01-01,2006
Country C,4887.950370672015,Power,2007-01-01,2007
Country B,2908.8997823210743,Power,2008-01-01,2008
Country A,4698.053241510164,Power,2009-01-01,2009
Country B,470.47822630192957,Power,2010-01-01,2010
Country B,635.4550866340572,Power,2011-01-01,2011
Country A,1886.2205332480669,Power,2012-01-01,2012
Country A,3991.933425127271,Power,2013-01-01,2013
Country B,52.337201734653206,Power,2014-01-01,2014
Country C,3400.5389552106076,Power,2015-01-01,2015
Country A,4207.569721480867,Power,2016-01-01,2016
Country A,3000.3258632304146,Power,2017-01-01,2017
Country C,2752.3412005713194,Power,2018-01-01,2018
Country A,324.46671893112426,Power,2019-01-01,2019
